order_id,product_id,product_name,quantity,order_date,unit_price,customer_id,city,category
O0000026,P0047,Product 0047,1,2025-03-24,7.74,11105,Kolkata,Stationery
O0000026,P0111,Product 0111,3,2025-03-24,13.33,11105,Kolkata,Gifts
O0000026,P0052,Product 0052,4,2025-03-24,4.44,11105,Kolkata,Gifts
O0000027,P0026,Product 0026,2,2025-05-24,11.39,10435,Hyderabad,Kitchen
O0000027,P0063,Product 0063,3,2025-05-24,7.27,10435,Hyderabad,Stationery
O0000028,P0036,Product 0036,4,2025-04-01,14.07,11017,Pune,Home Decor
O0000029,P0074,Product 0074,1,2025-04-20,5.68,10380,Delhi,Home Decor
O0000029,P0003,Product 0003,2,2025-04-20,4.58,10380,Delhi,Kitchen
O0000030,P0040,Product 0040,5,2025-08-02,7.4,10785,Bengaluru,Kitchen
O0000030,P0084,Product 0084,2,2025-08-02,7.44,10785,Bengaluru,Accessories
O0000030,P0043,Product 0043,2,2025-08-02,11.42,10785,Bengaluru,Accessories
O0000031,P0098,Product 0098,5,2025-04-24,51.29,11196,Pune,Accessories
O0000031,P0063,Product 0063,4,2025-04-24,7.27,11196,Pune,Stationery
O0000032,P0030,Product 0030,5,2025-04-26,15.01,10283,Mumbai,Stationery
O0000032,P0053,Product 0053,2,2025-04-26,20.17,10283,Mumbai,Stationery
O0000033,P0038,Product 0038,3,2025-09-02,5.4,10506,Bengaluru,Accessories
O0000034,P0048,Product 0048,2,2025-10-31,12.89,11193,Chennai,Seasonal
O0000035,P0086,Product 0086,5,2025-03-19,17.95,10681,Hyderabad,Accessories
O0000035,P0063,Product 0063,3,2025-03-19,7.27,10681,Hyderabad,Stationery
O0000035,P0061,Product 0061,4,2025-03-19,45.66,10681,Hyderabad,Seasonal
O0000036,P0069,Product 0069,2,2025-02-10,41.44,11441,Bengaluru,Home Decor
O0000036,P0029,Product 0029,4,2025-02-10,10.71,11441,Bengaluru,Kitchen
O0000036,P0067,Product 0067,5,2025-02-10,26.7,11441,Bengaluru,Seasonal
O0000037,P0072,Product 0072,2,2025-03-29,7.78,10012,Delhi,Gifts
O0000037,P0104,Product 0104,2,2025-03-29,8.96,10012,Delhi,Home Decor
O0000038,P0035,Product 0035,4,2025-07-30,11.06,11083,Jaipur,Seasonal
O0000038,P0030,Product 0030,2,2025-07-30,15.01,11083,Jaipur,Stationery
O0000039,P0093,Product 0093,2,2025-12-17,13.32,11222,Jaipur,Seasonal
O0000040,P0021,Product 0021,1,2025-02-28,23.06,11377,Bengaluru,Kitchen
O0000040,P0038,Product 0038,2,2025-02-28,5.4,11377,Bengaluru,Accessories
O0000041,P0014,Product 0014,4,2025-01-16,6.73,10236,Delhi,Accessories
O0000041,P0043,Product 0043,3,2025-01-16,11.42,10236,Delhi,Accessories
O0000041,P0092,Product 0092,3,2025-01-16,16.61,10236,Delhi,Accessories
O0000042,P0028,Product 0028,1,2025-07-12,20.92,11477,Chennai,Accessories
O0000043,P0037,Product 0037,2,2025-12-28,4.57,10589,Pune,Seasonal
O0000043,P0009,Product 0009,5,2025-12-28,11.66,10589,Pune,Gifts
O0000044,P0011,Product 0011,5,2025-07-21,27.13,10529,Bengaluru,Kitchen
O0000044,P0085,Product 0085,4,2025-07-21,3.35,10529,Bengaluru,Kitchen
O0000045,P0080,Product 0080,4,2025-12-04,26.75,10534,Chennai,Accessories
O0000045,P0096,Product 0096,5,2025-12-04,10.59,10534,Chennai,Gifts
O0000046,P0059,Product 0059,1,2025-08-23,17.51,10958,Delhi,Accessories
O0000046,P0060,Product 0060,5,2025-08-23,15.11,10958,Delhi,Accessories
O0000046,P0101,Product 0101,2,2025-08-23,10.49,10958,Delhi,Accessories
O0000047,P0109,Product 0109,5,2025-01-12,28.56,10989,Delhi,Stationery
O0000047,P0082,Product 0082,1,2025-01-12,114.4,10989,Delhi,Stationery
O0000047,P0005,Product 0005,1,2025-01-12,16.68,10989,Delhi,Stationery
O0000048,P0080,Product 0080,2,2025-06-06,26.75,10711,Jaipur,Accessories
O0000048,P0042,Product 0042,3,2025-06-06,7.89,10711,Jaipur,Accessories
O0000048,P0016,Product 0016,1,2025-06-06,21.07,10711,Jaipur,Accessories
O0000049,P0117,Product 0117,2,2025-10-09,6.08,10107,Mumbai,Home Decor
O0000050,P0006,Product 0006,2,2025-07-05,22.43,11480,Delhi,Seasonal
O0000050,P0118,Product 0118,4,2025-07-05,16.79,11480,Delhi,Home Decor
O0000050,P0052,Product 0052,2,2025-07-05,4.44,11480,Delhi,Gifts
O0000051,P0088,Product 0088,3,2025-03-13,11.13,10334,Mumbai,Gifts
O0000051,P0114,Product 0114,1,2025-03-13,20.33,10334,Mumbai,Stationery
O0000051,P0097,Product 0097,3,2025-03-13,14.33,10334,Mumbai,Gifts
O0000052,P0072,Product 0072,1,2025-03-08,7.78,10141,Bengaluru,Gifts
O0000052,P0108,Product 0108,4,2025-03-08,7.91,10141,Bengaluru,Kitchen
O0000052,P0014,Product 0014,3,2025-03-08,6.73,10141,Bengaluru,Accessories
O0000053,P0045,Product 0045,2,2025-08-31,11.6,10897,Bengaluru,Home Decor
O0000053,P0015,Product 0015,2,2025-08-31,7.82,10897,Bengaluru,Accessories
O0000053,P0047,Product 0047,5,2025-08-31,7.74,10897,Bengaluru,Stationery
O0000054,P0030,Product 0030,5,2025-06-19,15.01,10619,Hyderabad,Stationery
O0000055,P0070,Product 0070,2,2025-07-29,6.47,10924,Delhi,Stationery
O0000055,P0059,Product 0059,4,2025-07-29,17.51,10924,Delhi,Accessories
O0000056,P0023,Product 0023,3,2025-05-17,20.49,11314,Bengaluru,Gifts
O0000056,P0063,Product 0063,1,2025-05-17,7.27,11314,Bengaluru,Stationery
O0000057,P0035,Product 0035,5,2025-05-04,11.06,10146,Chennai,Seasonal
O0000057,P0114,Product 0114,1,2025-05-04,20.33,10146,Chennai,Stationery
O0000057,P0038,Product 0038,3,2025-05-04,5.4,10146,Chennai,Accessories
O0000058,P0100,Product 0100,1,2025-09-01,29.6,10427,Delhi,Home Decor
O0000059,P0053,Product 0053,1,2025-01-03,20.17,10775,Kolkata,Stationery
O0000059,P0100,Product 0100,4,2025-01-03,29.6,10775,Kolkata,Home Decor
O0000060,P0043,Product 0043,4,2025-06-08,11.42,11182,Pune,Accessories
O0000061,P0083,Product 0083,5,2025-05-16,19.89,10901,Kolkata,Home Decor
O0000061,P0099,Product 0099,5,2025-05-16,16.3,10901,Kolkata,Kitchen
O0000062,P0044,Product 0044,2,2025-10-12,36.95,10575,Mumbai,Stationery
O0000063,P0056,Product 0056,5,2025-09-23,5.41,10916,Mumbai,Home Decor
O0000063,P0108,Product 0108,2,2025-09-23,7.91,10916,Mumbai,Kitchen
O0000064,P0013,Product 0013,1,2025-06-05,6.09,11470,Mumbai,Accessories
O0000064,P0034,Product 0034,5,2025-06-05,13.89,11470,Mumbai,Kitchen
O0000065,P0020,Product 0020,4,2025-04-06,16.63,10721,Mumbai,Stationery
O0000066,P0039,Product 0039,1,2025-03-28,5.9,11326,Hyderabad,Gifts
O0000067,P0100,Product 0100,2,2025-03-19,29.6,11170,Chennai,Home Decor
O0000067,P0050,Product 0050,3,2025-03-19,11.74,11170,Chennai,Accessories
O0000067,P0024,Product 0024,3,2025-03-19,9.36,11170,Chennai,Seasonal
O0000068,P0069,Product 0069,3,2025-04-10,41.44,10452,Delhi,Home Decor
O0000069,P0061,Product 0061,1,2025-10-05,45.66,10375,Mumbai,Seasonal
O0000069,P0108,Product 0108,3,2025-10-05,7.91,10375,Mumbai,Kitchen
O0000069,P0042,Product 0042,5,2025-10-05,7.89,10375,Mumbai,Accessories
O0000070,P0107,Product 0107,4,2025-01-17,26.76,11156,Delhi,Accessories
O0000070,P0051,Product 0051,3,2025-01-17,26.8,11156,Delhi,Accessories
O0000071,P0021,Product 0021,2,2025-01-10,23.06,10312,Pune,Kitchen
O0000072,P0056,Product 0056,2,2025-07-17,5.41,10506,Bengaluru,Home Decor
O0000072,P0057,Product 0057,3,2025-07-17,15.65,10506,Bengaluru,Kitchen
O0000072,P0047,Product 0047,3,2025-07-17,7.74,10506,Bengaluru,Stationery
O0000073,P0040,Product 0040,3,2025-03-23,7.4,10354,Delhi,Kitchen
O0000073,P0009,Product 0009,4,2025-03-23,11.66,10354,Delhi,Gifts
O0000074,P0114,Product 0114,1,2025-10-31,20.33,10910,Mumbai,Stationery
O0000074,P0061,Product 0061,5,2025-10-31,45.66,10910,Mumbai,Seasonal
O0000075,P0065,Product 0065,4,2025-10-02,17.36,10442,Jaipur,Stationery
O0000075,P0049,Product 0049,2,2025-10-02,7.65,10442,Jaipur,Accessories
O0000075,P0054,Product 0054,2,2025-10-02,17.57,10442,Jaipur,Stationery
O0000076,P0002,Product 0002,1,2025-10-08,29.31,10988,Chennai,Accessories
O0000076,P0048,Product 0048,5,2025-10-08,12.89,10988,Chennai,Seasonal
O0000076,P0021,Product 0021,5,2025-10-08,23.06,10988,Chennai,Kitchen
O0000077,P0091,Product 0091,2,2025-06-16,31.38,11403,Mumbai,Stationery
O0000077,P0075,Product 0075,3,2025-06-16,23.21,11403,Mumbai,Accessories
O0000078,P0040,Product 0040,4,2025-06-09,7.4,11245,Bengaluru,Kitchen
O0000078,P0001,Product 0001,4,2025-06-09,8.12,11245,Bengaluru,Home Decor
O0000079,P0054,Product 0054,4,2025-06-05,17.57,11422,Hyderabad,Stationery
O0000079,P0061,Product 0061,5,2025-06-05,45.66,11422,Hyderabad,Seasonal
O0000080,P0002,Product 0002,3,2025-03-13,29.31,10037,Delhi,Accessories
O0000080,P0079,Product 0079,2,2025-03-13,18.53,10037,Delhi,Kitchen
O0000080,P0062,Product 0062,1,2025-03-13,12.58,10037,Delhi,Accessories
O0000081,P0037,Product 0037,3,2025-07-27,4.57,10684,Delhi,Seasonal
O0000081,P0070,Product 0070,1,2025-07-27,6.47,10684,Delhi,Stationery
O0000081,P0072,Product 0072,3,2025-07-27,7.78,10684,Delhi,Gifts
O0000082,P0092,Product 0092,3,2025-11-12,16.61,10331,Chennai,Accessories
O0000082,P0057,Product 0057,5,2025-11-12,15.65,10331,Chennai,Kitchen
O0000082,P0068,Product 0068,3,2025-11-12,19.1,10331,Chennai,Stationery
O0000083,P0072,Product 0072,4,2025-04-04,7.78,11377,Bengaluru,Gifts
O0000084,P0093,Product 0093,3,2025-01-21,13.32,11068,Kolkata,Seasonal
O0000084,P0106,Product 0106,4,2025-01-21,8.37,11068,Kolkata,Accessories
O0000084,P0094,Product 0094,3,2025-01-21,7.21,11068,Kolkata,Stationery
O0000085,P0002,Product 0002,1,2025-07-26,29.31,10481,Kolkata,Accessories
O0000086,P0095,Product 0095,4,2025-05-26,4.61,10846,Jaipur,Seasonal
O0000086,P0120,Product 0120,1,2025-05-26,16.64,10846,Jaipur,Home Decor
O0000087,P0054,Product 0054,1,2025-10-19,17.57,10909,Bengaluru,Stationery
O0000087,P0102,Product 0102,4,2025-10-19,6.49,10909,Bengaluru,Gifts
O0000087,P0112,Product 0112,5,2025-10-19,14.46,10909,Bengaluru,Accessories
O0000088,P0100,Product 0100,4,2025-11-09,29.6,10744,Delhi,Home Decor
O0000088,P0062,Product 0062,5,2025-11-09,12.58,10744,Delhi,Accessories
O0000088,P0120,Product 0120,2,2025-11-09,16.64,10744,Delhi,Home Decor
O0000089,P0047,Product 0047,2,2025-12-13,7.74,10712,Mumbai,Stationery
O0000090,P0111,Product 0111,2,2025-05-24,13.33,10083,Delhi,Gifts
O0000090,P0019,Product 0019,4,2025-05-24,11.03,10083,Delhi,Seasonal
O0000090,P0040,Product 0040,5,2025-05-24,7.4,10083,Delhi,Kitchen
O0000091,P0058,Product 0058,3,2025-11-26,10.27,10679,Bengaluru,Home Decor
O0000091,P0074,Product 0074,5,2025-11-26,5.68,10679,Bengaluru,Home Decor
O0000092,P0059,Product 0059,2,2025-02-13,17.51,10523,Kolkata,Accessories
O0000092,P0084,Product 0084,5,2025-02-13,7.44,10523,Kolkata,Accessories
O0000092,P0050,Product 0050,5,2025-02-13,11.74,10523,Kolkata,Accessories
O0000093,P0036,Product 0036,3,2025-05-17,14.07,11228,Kolkata,Home Decor
O0000093,P0038,Product 0038,5,2025-05-17,5.4,11228,Kolkata,Accessories
O0000093,P0013,Product 0013,1,2025-05-17,6.09,11228,Kolkata,Accessories
O0000094,P0097,Product 0097,4,2025-04-08,14.33,11298,Bengaluru,Gifts
O0000094,P0032,Product 0032,5,2025-04-08,20.34,11298,Bengaluru,Gifts
O0000094,P0019,Product 0019,2,2025-04-08,11.03,11298,Bengaluru,Seasonal
O0000095,P0072,Product 0072,5,2025-12-03,7.78,11126,Pune,Gifts
O0000095,P0019,Product 0019,2,2025-12-03,11.03,11126,Pune,Seasonal
O0000095,P0113,Product 0113,4,2025-12-03,9.41,11126,Pune,Kitchen
O0000096,P0118,Product 0118,4,2025-08-08,16.79,10047,Pune,Home Decor
O0000097,P0008,Product 0008,5,2025-05-14,25.93,11262,Delhi,Accessories
O0000097,P0057,Product 0057,5,2025-05-14,15.65,11262,Delhi,Kitchen
O0000098,P0027,Product 0027,1,2025-02-25,6.44,10595,Chennai,Stationery
O0000098,P0076,Product 0076,1,2025-02-25,12.74,10595,Chennai,Stationery
O0000098,P0013,Product 0013,3,2025-02-25,6.09,10595,Chennai,Accessories
O0000099,P0119,Product 0119,4,2025-10-13,44.94,10625,Delhi,Gifts
O0000099,P0043,Product 0043,2,2025-10-13,11.42,10625,Delhi,Accessories
O0000099,P0046,Product 0046,4,2025-10-13,24.93,10625,Delhi,Seasonal
O0000100,P0030,Product 0030,3,2025-08-28,15.01,11418,Chennai,Stationery
O0000100,P0005,Product 0005,2,2025-08-28,16.68,11418,Chennai,Stationery
O0000101,P0086,Product 0086,4,2025-11-08,17.95,11301,Delhi,Accessories
O0000101,P0115,Product 0115,5,2025-11-08,10.82,11301,Delhi,Kitchen
O0000102,P0028,Product 0028,1,2025-06-09,20.92,10077,Delhi,Accessories
O0000103,P0099,Product 0099,5,2025-02-24,16.3,10540,Bengaluru,Kitchen
O0000103,P0105,Product 0105,5,2025-02-24,66.02,10540,Bengaluru,Accessories
O0000103,P0050,Product 0050,2,2025-02-24,11.74,10540,Bengaluru,Accessories
O0000104,P0108,Product 0108,3,2025-05-03,7.91,11125,Kolkata,Kitchen
O0000104,P0020,Product 0020,3,2025-05-03,16.63,11125,Kolkata,Stationery
O0000105,P0087,Product 0087,3,2025-08-15,8.42,10809,Chennai,Home Decor
O0000105,P0114,Product 0114,5,2025-08-15,20.33,10809,Chennai,Stationery
O0000105,P0086,Product 0086,2,2025-08-15,17.95,10809,Chennai,Accessories
O0000106,P0058,Product 0058,2,2025-03-29,10.27,10387,Delhi,Home Decor
O0000106,P0035,Product 0035,5,2025-03-29,11.06,10387,Delhi,Seasonal
O0000107,P0030,Product 0030,5,2025-01-26,15.01,10788,Pune,Stationery
O0000107,P0010,Product 0010,2,2025-01-26,10.77,10788,Pune,Home Decor
O0000107,P0083,Product 0083,2,2025-01-26,19.89,10788,Pune,Home Decor
O0000108,P0045,Product 0045,3,2025-10-28,11.6,11300,Bengaluru,Home Decor
O0000108,P0118,Product 0118,5,2025-10-28,16.79,11300,Bengaluru,Home Decor
O0000109,P0088,Product 0088,2,2025-07-13,11.13,10335,Delhi,Gifts
O0000109,P0062,Product 0062,2,2025-07-13,12.58,10335,Delhi,Accessories
O0000109,P0002,Product 0002,4,2025-07-13,29.31,10335,Delhi,Accessories
O0000110,P0029,Product 0029,5,2025-05-25,10.71,11120,Mumbai,Kitchen
O0000111,P0089,Product 0089,4,2025-07-21,9.69,11103,Pune,Accessories
O0000111,P0070,Product 0070,4,2025-07-21,6.47,11103,Pune,Stationery
O0000112,P0037,Product 0037,2,2025-09-27,4.57,11329,Hyderabad,Seasonal
O0000112,P0093,Product 0093,1,2025-09-27,13.32,11329,Hyderabad,Seasonal
O0000112,P0021,Product 0021,3,2025-09-27,23.06,11329,Hyderabad,Kitchen
O0000113,P0099,Product 0099,3,2025-01-01,16.3,10447,Delhi,Kitchen
O0000113,P0090,Product 0090,5,2025-01-01,13.48,10447,Delhi,Accessories
O0000114,P0034,Product 0034,4,2025-06-10,13.89,10324,Bengaluru,Kitchen
O0000114,P0042,Product 0042,5,2025-06-10,7.89,10324,Bengaluru,Accessories
O0000114,P0097,Product 0097,4,2025-06-10,14.33,10324,Bengaluru,Gifts
O0000115,P0018,Product 0018,2,2025-04-03,24.13,10822,Delhi,Home Decor
O0000115,P0006,Product 0006,2,2025-04-03,22.43,10822,Delhi,Seasonal
O0000116,P0114,Product 0114,2,2025-02-03,20.33,10797,Bengaluru,Stationery
O0000116,P0057,Product 0057,1,2025-02-03,15.65,10797,Bengaluru,Kitchen
O0000116,P0066,Product 0066,1,2025-02-03,38.53,10797,Bengaluru,Gifts
O0000117,P0043,Product 0043,5,2025-01-14,11.42,10615,Mumbai,Accessories
O0000117,P0046,Product 0046,1,2025-01-14,24.93,10615,Mumbai,Seasonal
O0000117,P0062,Product 0062,2,2025-01-14,12.58,10615,Mumbai,Accessories
O0000118,P0112,Product 0112,2,2025-06-10,14.46,11169,Delhi,Accessories
O0000119,P0069,Product 0069,3,2025-07-18,41.44,11199,Bengaluru,Home Decor
O0000119,P0090,Product 0090,3,2025-07-18,13.48,11199,Bengaluru,Accessories
O0000120,P0072,Product 0072,2,2025-07-05,7.78,10369,Bengaluru,Gifts
O0000121,P0055,Product 0055,4,2025-10-13,9.82,11194,Jaipur,Stationery
O0000121,P0029,Product 0029,3,2025-10-13,10.71,11194,Jaipur,Kitchen
O0000121,P0091,Product 0091,4,2025-10-13,31.38,11194,Jaipur,Stationery
O0000122,P0083,Product 0083,4,2025-06-17,19.89,10347,Jaipur,Home Decor
O0000123,P0005,Product 0005,3,2025-08-04,16.68,10612,Mumbai,Stationery
O0000123,P0069,Product 0069,1,2025-08-04,41.44,10612,Mumbai,Home Decor
O0000124,P0119,Product 0119,2,2025-10-25,44.94,10041,Bengaluru,Gifts
O0000124,P0033,Product 0033,4,2025-10-25,23.71,10041,Bengaluru,Home Decor
O0000125,P0046,Product 0046,3,2025-08-28,24.93,10511,Kolkata,Seasonal
O0000125,P0070,Product 0070,2,2025-08-28,6.47,10511,Kolkata,Stationery
O0000126,P0083,Product 0083,2,2025-11-29,19.89,11438,Jaipur,Home Decor
O0000127,P0045,Product 0045,3,2025-03-22,11.6,10664,Delhi,Home Decor
O0000127,P0103,Product 0103,2,2025-03-22,7.57,10664,Delhi,Accessories
O0000128,P0011,Product 0011,2,2025-10-15,27.13,11066,Pune,Kitchen
O0000128,P0001,Product 0001,1,2025-10-15,8.12,11066,Pune,Home Decor
O0000128,P0007,Product 0007,2,2025-10-15,24.48,11066,Pune,Home Decor
O0000129,P0069,Product 0069,5,2025-09-12,41.44,10162,Chennai,Home Decor
O0000129,P0036,Product 0036,5,2025-09-12,14.07,10162,Chennai,Home Decor
O0000130,P0067,Product 0067,2,2025-08-01,26.7,10954,Jaipur,Seasonal
O0000130,P0004,Product 0004,2,2025-08-01,11.77,10954,Jaipur,Stationery
O0000131,P0005,Product 0005,3,2025-01-02,16.68,10558,Bengaluru,Stationery
O0000131,P0032,Product 0032,5,2025-01-02,20.34,10558,Bengaluru,Gifts
O0000131,P0093,Product 0093,1,2025-01-02,13.32,10558,Bengaluru,Seasonal
O0000132,P0029,Product 0029,3,2025-07-17,10.71,11116,Delhi,Kitchen
O0000132,P0058,Product 0058,5,2025-07-17,10.27,11116,Delhi,Home Decor
O0000133,P0021,Product 0021,2,2025-11-10,23.06,11393,Chennai,Kitchen
O0000133,P0103,Product 0103,4,2025-11-10,7.57,11393,Chennai,Accessories
O0000134,P0021,Product 0021,1,2025-08-24,23.06,10798,Bengaluru,Kitchen
O0000134,P0027,Product 0027,4,2025-08-24,6.44,10798,Bengaluru,Stationery
O0000135,P0053,Product 0053,3,2025-01-02,20.17,10155,Pune,Stationery
O0000135,P0115,Product 0115,2,2025-01-02,10.82,10155,Pune,Kitchen
O0000135,P0029,Product 0029,1,2025-01-02,10.71,10155,Pune,Kitchen
O0000136,P0011,Product 0011,5,2025-04-16,27.13,10715,Kolkata,Kitchen
O0000136,P0008,Product 0008,3,2025-04-16,25.93,10715,Kolkata,Accessories
O0000137,P0101,Product 0101,4,2025-07-27,10.49,10185,Bengaluru,Accessories
O0000138,P0033,Product 0033,5,2025-10-24,23.71,10675,Bengaluru,Home Decor
O0000139,P0034,Product 0034,3,2025-06-12,13.89,10092,Delhi,Kitchen
O0000139,P0017,Product 0017,2,2025-06-12,16.44,10092,Delhi,Kitchen
O0000140,P0077,Product 0077,5,2025-11-09,5.31,10961,Chennai,Gifts
O0000140,P0039,Product 0039,5,2025-11-09,5.9,10961,Chennai,Gifts
O0000141,P0006,Product 0006,3,2025-10-18,22.43,10466,Delhi,Seasonal
O0000142,P0049,Product 0049,2,2025-04-08,7.65,10303,Mumbai,Accessories
O0000142,P0108,Product 0108,5,2025-04-08,7.91,10303,Mumbai,Kitchen
O0000143,P0115,Product 0115,2,2025-03-13,10.82,10026,Delhi,Kitchen
O0000144,P0065,Product 0065,3,2025-11-26,17.36,11333,Hyderabad,Stationery
O0000144,P0068,Product 0068,3,2025-11-26,19.1,11333,Hyderabad,Stationery
O0000144,P0025,Product 0025,3,2025-11-26,11.54,11333,Hyderabad,Accessories
O0000145,P0005,Product 0005,5,2025-08-04,16.68,11256,Mumbai,Stationery
O0000145,P0116,Product 0116,4,2025-08-04,6.31,11256,Mumbai,Kitchen
O0000146,P0004,Product 0004,5,2025-11-06,11.77,11218,Pune,Stationery
O0000146,P0061,Product 0061,4,2025-11-06,45.66,11218,Pune,Seasonal
O0000147,P0096,Product 0096,3,2025-12-03,10.59,10088,Delhi,Gifts
O0000148,P0101,Product 0101,2,2025-06-04,10.49,10525,Pune,Accessories
O0000148,P0102,Product 0102,2,2025-06-04,6.49,10525,Pune,Gifts
O0000149,P0093,Product 0093,2,2025-01-17,13.32,11458,Mumbai,Seasonal
O0000149,P0078,Product 0078,3,2025-01-17,7.31,11458,Mumbai,Gifts
O0000149,P0008,Product 0008,3,2025-01-17,25.93,11458,Mumbai,Accessories
O0000150,P0110,Product 0110,5,2025-11-28,19.48,10868,Kolkata,Accessories
O0000151,P0113,Product 0113,3,2025-08-02,9.41,10193,Mumbai,Kitchen
O0000152,P0093,Product 0093,3,2025-02-13,13.32,10212,Pune,Seasonal
O0000152,P0072,Product 0072,4,2025-02-13,7.78,10212,Pune,Gifts
O0000152,P0090,Product 0090,5,2025-02-13,13.48,10212,Pune,Accessories
O0000153,P0018,Product 0018,5,2025-07-13,24.13,10395,Bengaluru,Home Decor
O0000153,P0062,Product 0062,3,2025-07-13,12.58,10395,Bengaluru,Accessories
O0000153,P0060,Product 0060,4,2025-07-13,15.11,10395,Bengaluru,Accessories
O0000154,P0013,Product 0013,4,2025-01-11,6.09,11459,Hyderabad,Accessories
O0000154,P0077,Product 0077,4,2025-01-11,5.31,11459,Hyderabad,Gifts
O0000154,P0045,Product 0045,2,2025-01-11,11.6,11459,Hyderabad,Home Decor
O0000155,P0094,Product 0094,5,2025-04-16,7.21,10255,Mumbai,Stationery
O0000155,P0092,Product 0092,1,2025-04-16,16.61,10255,Mumbai,Accessories
O0000156,P0103,Product 0103,4,2025-05-07,7.57,11355,Bengaluru,Accessories
O0000157,P0117,Product 0117,2,2025-06-15,6.08,11018,Mumbai,Home Decor
O0000157,P0067,Product 0067,3,2025-06-15,26.7,11018,Mumbai,Seasonal
